date,dow,TEMP,RH,pm25,tot,cvd,resp
01/01/1999,6,67.2,91.3840172,NA,60,22,3
01/02/1999,7,57.1,74.5810587,NA,49,10,4
01/03/1999,1,39.9,46.1610208,NA,54,19,4
01/04/1999,2,37.1,40.6374507,NA,55,16,4
01/05/1999,3,41.9,70.1664632,NA,56,21,4
01/06/1999,4,61.3,85.4643676,NA,57,15,8
01/07/1999,5,66.4,91.3554175,NA,55,18,3
01/08/1999,6,68.8,88.6311511,NA,62,24,7
01/09/1999,7,48.4,68.9873251,NA,48,19,3
01/10/1999,1,40.6,59.9608886,NA,53,9,7
01/11/1999,2,51,76.570201,NA,64,25,8
01/12/1999,3,60.9,80.3351173,NA,51,19,5
01/13/1999,4,66.1,83.0577658,NA,51,17,6
01/14/1999,5,51,87.4334458,NA,61,21,3
01/15/1999,6,47.3,77.4183731,NA,44,16,2
01/16/1999,7,54.9,85.0794327,NA,48,16,5
01/17/1999,1,67.9,85.2470225,NA,53,14,6
01/18/1999,2,62.7,64.3772511,NA,59,23,3
01/19/1999,3,62.7,81.6431825,NA,61,22,7
01/20/1999,4,69.6,87.4474541,NA,47,15,6
01/21/1999,5,72,84.0253854,NA,49,15,6
01/22/1999,6,71.7,57.124016,NA,54,22,8
01/23/1999,7,53,57.2719443,NA,37,16,5
01/24/1999,1,54.3,64.5330008,NA,55,22,2
01/25/1999,2,60,77.0964352,NA,66,19,7
01/26/1999,3,60.8,81.504354,NA,55,21,4
01/27/1999,4,67.4,84.3236859,NA,52,18,9
01/28/1999,5,69.7,92.1050867,NA,60,20,4
01/29/1999,6,72.2,93.1326324,NA,53,18,9
01/30/1999,7,61,72.2520662,NA,53,15,4
01/31/1999,1,53.1,66.6536857,NA,46,16,3
02/01/1999,2,56.4,75.3537284,NA,43,12,6
02/02/1999,3,62.5,70.314626,NA,45,14,6
02/03/1999,4,62.8,73.5037729,NA,57,19,3
02/04/1999,5,68.7,85.5924397,NA,39,17,4
02/05/1999,6,66.3,72.0128222,NA,59,18,5
02/06/1999,7,71.6,90.6040574,NA,49,17,2
02/07/1999,1,70.7,89.3317434,NA,57,17,5
02/08/1999,2,71.8,82.8592862,NA,54,18,8
02/09/1999,3,73.2,84.389676,NA,47,15,5
02/10/1999,4,72.8,84.6554867,NA,49,16,3
02/11/1999,5,72.7,80.6609626,NA,49,11,2
02/12/1999,6,52,38.3321981,NA,55,19,4
02/13/1999,7,51.6,36.7120432,NA,51,21,4
02/14/1999,1,53.6,58.4894416,NA,58,23,5
02/15/1999,2,57.6,68.21665,NA,49,18,2
02/16/1999,3,63.6,80.5429,NA,46,13,6
02/17/1999,4,62.7,80.7649021,NA,60,20,7
